Block,Homogeneity,PrimeType,Target,Response,VerbClass,Item,List,Subject
B,Heterogeneous,Dispreferred,A father is reading a book to his little girl,1,Dative,28,2,10
B,Homogenous,Dispreferred,A clown is cramming a box with his shoes,0,Locative,29,2,10
D,Homogenous,Dispreferred,A chef is brushing a turkey with butter,1,Locative,30,2,10
H,Heterogeneous,Preferred,A boy is throwing a man a baseball,1,Dative,31,2,10
H,Homogenous,Dispreferred,A baker is dusting cake with powdered sugar,1,Locative,32,2,10
E,Heterogeneous,Dispreferred,the woman is spritzing her plants with water,0,Locative,1,3,11
H,Heterogeneous,Preferred,The quarterback is throwing his reciever the football,0,Dative,2,3,11
D,Homogenous,Dispreferred,The mother is dabbing his daughter's cut with alcohol,0,Locative,3,3,11
H,Homogenous,Dispreferred,The man is scattering the bed with rose petals,1,Locative,4,3,11
E,Homogenous,Preferred,The lawyer is showing the judge the gun,0,Dative,5,3,11
F,Homogenous,Dispreferred,the artist is splattering his canvas with paint,0,Locative,9,3,11
G,Homogenous,Dispreferred,Some guy is throwing a frisbee to his friend,0,Dative,10,3,11
B,Homogenous,Dispreferred,Santa Claus is stuffing stockings with fruit,0,Locative,11,3,11
B,Homogenous,Preferred,men are loading toxic waste on a truck,1,Locative,12,3,11
A,Homogenous,Preferred,An old woman is giving an old man a cake,1,Dative,13,3,11
F,Heterogeneous,Preferred,A woman is tossing a patient a beachball,0,Dative,14,3,11
E,Homogenous,Dispreferred,A woman is showing a dress to a man,1,Dative,15,3,11
G,Heterogeneous,Dispreferred,A woman is rubbing a baby with lotion,1,Locative,16,3,11
C,Homogenous,Dispreferred,A woman is reading a book to some kids,0,Dative,17,3,11
H,Heterogeneous,Dispreferred,A priest is reading the bible to the class,0,Dative,18,3,11
F,Heterogeneous,Dispreferred,A nurse is showing his x-ray to a boy,1,Dative,19,3,11
A,Homogenous,Dispreferred,A nurse is handing  crutches to a girl,1,Dative,20,3,11
E,Heterogeneous,Preferred,A man is packing beers in a cooler,0,Locative,21,3,11
D,Heterogeneous,Dispreferred,A man is giving a gift to a little girl,0,Dative,22,3,11
H,Homogenous,Preferred,A man is drizzling cheese on his nachos,1,Locative,23,3,11
D,Heterogeneous,Preferred,A guy is showing a bouncer his ID,1,Dative,24,3,11
G,Heterogeneous,Preferred,A girl is sprinkling salt on her soup,1,Locative,25,3,11
B,Heterogeneous,Dispreferred,A girl is reading a book to a little boy,0,Dative,26,3,11
B,Heterogeneous,Preferred,A girl is handing a man a paintbrush,1,Dative,27,3,11
C,Homogenous,Preferred,A father is reading his little girl a book,0,Dative,28,3,11
A,Heterogeneous,Preferred,A clown is cramming his shoes into a  box,1,Locative,29,3,11
C,Heterogeneous,Dispreferred,A chef is brushing a turkey with butter,0,Locative,30,3,11
G,Homogenous,Preferred,A boy is throwing a man a baseball,0,Dative,31,3,11
C,Heterogeneous,Preferred,A baker is dusting powdered sugar on a cake,1,Locative,32,3,11
F,Homogenous,Dispreferred,the woman is spritzing her plants with water,1,Locative,1,4,12
G,Homogenous,Dispreferred,The quarterback is throwing the football to his receiver,0,Dative,2,4,12
C,Heterogeneous,Preferred,The mother is dabbing alcohol to her daughter's cut,1,Locative,3,4,12
