"Subject" "AbsTrial" "List" "CardSet" "VerbCat" "Confusable." "TargBinary" "PTnumeric" "VerbClass" "Item" "PrimeType" "Homogeneity"
"221" 11 497 3 2 "rub" 1 1 1 "Locative" 32 "preferred" "Homogenous"
"222" 11 502 3 2 "show" 0 1 0 "Dative" 15 "dispreferred" "Heterogenous"
"223" 11 510 3 2 "throw" 1 1 1 "Dative" 19 "preferred" "Homogenous"
"224" 11 513 3 2 "throw" 1 1 0 "Dative" 20 "dispreferred" "Homogenous"
"225" 11 516 3 2 "throw" 1 1 0 "Dative" 21 "dispreferred" "Homogenous"
"226" 11 519 3 2 "give" 0 1 1 "Dative" 4 "preferred" "Heterogenous"
"227" 11 525 3 2 "show" 0 1 0 "Dative" 16 "dispreferred" "Heterogenous"
"228" 11 528 3 2 "throw" 0 1 1 "Dative" 22 "preferred" "Heterogenous"
"229" 12 529 4 2 "read" 1 1 0 "Dative" 7 "dispreferred" "Homogenous"
"230" 12 532 4 2 "read" 1 1 0 "Dative" 8 "dispreferred" "Homogenous"
"231" 12 535 4 2 "read" 1 1 1 "Dative" 9 "preferred" "Homogenous"
"232" 12 542 4 2 "rub" 1 1 0 "Locative" 31 "dispreferred" "Homogenous"
"233" 12 544 4 2 "give" 0 1 0 "Dative" 3 "dispreferred" "Heterogenous"
"234" 12 550 4 2 "show" 0 1 1 "Dative" 15 "preferred" "Heterogenous"
"235" 12 551 4 2 "rub" 1 1 1 "Locative" 34 "preferred" "Homogenous"
"236" 12 554 4 2 "put" 0 1 1 "Locative" 28 "preferred" "Heterogenous"
"237" 12 557 4 2 "rub" 0 1 0 "Locative" 35 "dispreferred" "Heterogenous"
"238" 12 558 4 2 "throw" 1 1 0 "Dative" 19 "dispreferred" "Homogenous"
"239" 12 561 4 2 "throw" 1 1 1 "Dative" 20 "preferred" "Homogenous"
"240" 12 564 4 2 "throw" 1 1 1 "Dative" 21 "preferred" "Homogenous"
"241" 12 565 4 2 "sprinkle" 1 1 1 "Locative" 43 "preferred" "Homogenous"
"242" 12 567 4 2 "give" 0 0 0 "Dative" 4 "dispreferred" "Heterogenous"
"243" 12 568 4 2 "sprinkle" 1 1 1 "Locative" 44 "preferred" "Homogenous"
"244" 12 573 4 2 "show" 0 1 1 "Dative" 16 "preferred" "Heterogenous"
"245" 12 574 4 2 "sprinkle" 1 1 0 "Locative" 47 "dispreferred" "Homogenous"
