"","subject","trial","isi","lexicality","prime","target","accuracy","RT","rel"
"8974",18,483,50,1,"NONE","zero",1,376,"rel"
"8975",18,595,50,1,"FILE","cabinet",1,376,"rel"
"8976",26,317,1050,1,"LISTEN","hear",1,376,"rel"
"8977",26,99,1050,1,"SNOB","bitch",1,376,"rel"
"8979",47,157,50,1,"SINGLE","marry",1,376,"rel"
"9057",18,64,1050,1,"MAD","thing",1,377,"un"
"9094",18,529,50,1,"RANGE","shoot",1,377,"rel"
"9095",18,776,50,1,"BARREL","pickles",1,377,"rel"
"9096",18,217,1050,1,"DART","throw",1,377,"rel"
"9097",36,43,1050,1,"SAUCE","apple",1,377,"rel"
"9098",44,16,1050,1,"DATA","base",1,377,"rel"
"9128",18,348,1050,1,"LANGUAGE","english",1,377,"rel"
"9181",5,591,1050,1,"BOLOGNA","tea",1,378,"un"
