Subject	Trial	TargBinary	ExpCond	PrimeCategory	PrimeType
63	84.gif	0	Same	Dative	Prime_A
63	32.gif	0	Same	Transitive	Prime_B
63	104.gif	0	Same	Locative	Prime_A
63	34.gif	0	Same	Dative	Prime_B
63	40.gif	0	Same	Transitive	Prime_A
63	74.gif	0	Same	Locative	Prime_A
63	68.gif	0	Same	Dative	Prime_B
63	39.gif	0	Same	Transitive	Prime_A
63	82.gif	1	Same	Dative	Prime_A
63	57.gif	1	Different	Transitive	Prime_A
63	81.gif	0	Different	Locative	Prime_A
63	43.gif	0	Different	Dative	Prime_B
63	93.gif	1	Different	Transitive	Prime_A
63	108.gif	0	Different	Locative	Prime_B
63	T11.gif	1	Different	Dative	Prime_A
63	1.gif	0	Different	Transitive	Prime_B
63	112.gif	1	Different	Locative	Prime_A
63	44.gif	1	Different	Dative	Prime_A
63	38.gif	1	Different	Transitive	Prime_B
63	109.gif	1	Different	Locative	Prime_B
64	26.gif	1	Different	Dative	Prime_A
64	21.gif	1	Different	Locative	Prime_A
64	22.gif	0	Different	Transitive	Prime_B
64	19.gif	1	Different	Transitive	Prime_B
64	33.gif	0	Different	Dative	Prime_A
64	6.gif	1	Different	Transitive	Prime_A
64	29.gif	1	Different	Transitive	Prime_A
64	51.gif	0	Same	Dative	Prime_A
64	37.gif	1	Same	Transitive	Prime_A
64	T6.gif	0	Same	Dative	Prime_A
64	114.gif	1	Same	Locative	Prime_A
64	30.gif	1	Same	Transitive	Prime_B
64	45.gif	1	Same	Dative	Prime_B
64	52.gif	1	Same	Dative	Prime_B
64	28.gif	1	Same	Transitive	Prime_B
64	82.gif	1	Same	Dative	Prime_B
64	68.gif	1	Same	Dative	Prime_A
64	40.gif	0	Same	Transitive	Prime_B
64	34.gif	1	Same	Dative	Prime_A
64	104.gif	1	Same	Locative	Prime_B
64	32.gif	1	Same	Transitive	Prime_A
64	84.gif	1	Same	Dative	Prime_B
64	36.gif	0	Same	Transitive	Prime_A
64	T4.gif	1	Different	Dative	Prime_A
64	109.gif	1	Different	Locative	Prime_A
64	44.gif	1	Different	Dative	Prime_B
64	1.gif	0	Different	Transitive	Prime_A
64	108.gif	1	Different	Locative	Prime_A
64	93.gif	1	Different	Transitive	Prime_B
64	43.gif	1	Different	Dative	Prime_A
64	81.gif	0	Different	Locative	Prime_B
64	57.gif	0	Different	Transitive	Prime_B
65	29.gif	0	Same	Transitive	Prime_B
65	8.gif	1	Same	Locative	Prime_B
65	T1.gif	1	Same	Dative	Prime_A
65	6.gif	1	Same	Transitive	Prime_B
65	76.gif	1	Same	Locative	Prime_A
65	33.gif	1	Same	Dative	Prime_B
65	19.gif	1	Same	Transitive	Prime_A
65	11.gif	1	Same	Locative	Prime_A
65	90.gif	1	Same	Dative	Prime_A
65	22.gif	0	Same	Transitive	Prime_A
65	26.gif	1	Same	Dative	Prime_B
65	28.gif	1	Different	Transitive	Prime_A
65	52.gif	1	Different	Dative	Prime_A
65	25.gif	0	Different	Transitive	Prime_B
65	66.gif	1	Different	Locative	Prime_B
65	45.gif	1	Different	Dative	Prime_A
65	30.gif	0	Different	Transitive	Prime_A
65	114.gif	1	Different	Locative	Prime_B
65	T6.gif	1	Different	Dative	Prime_B
65	37.gif	1	Different	Transitive	Prime_B
65	15.gif	1	Different	Locative	Prime_A
65	51.gif	1	Different	Dative	Prime_B
65	36.gif	0	Different	Transitive	Prime_B
65	70.gif	0	Different	Locative	Prime_B
65	84.gif	1	Different	Dative	Prime_A
65	32.gif	0	Different	Transitive	Prime_B
65	104.gif	1	Different	Locative	Prime_A
65	34.gif	1	Different	Dative	Prime_B
65	40.gif	0	Different	Transitive	Prime_A
65	74.gif	1	Different	Locative	Prime_A
65	68.gif	1	Different	Dative	Prime_B
65	39.gif	0	Different	Transitive	Prime_A
65	78.gif	1	Different	Locative	Prime_B
65	82.gif	1	Different	Dative	Prime_A
65	57.gif	1	Same	Transitive	Prime_A
65	81.gif	1	Same	Locative	Prime_A
65	43.gif	1	Same	Dative	Prime_B
65	93.gif	1	Same	Transitive	Prime_A
65	108.gif	1	Same	Locative	Prime_B
65	T11.gif	1	Same	Dative	Prime_A
65	1.gif	0	Same	Transitive	Prime_B
65	112.gif	1	Same	Locative	Prime_A
65	44.gif	1	Same	Dative	Prime_A
65	109.gif	1	Same	Locative	Prime_B
65	T4.gif	0	Same	Dative	Prime_B
66	26.gif	0	Same	Dative	Prime_B
66	21.gif	0	Same	Locative	Prime_B
66	22.gif	1	Same	Transitive	Prime_A
66	90.gif	1	Same	Dative	Prime_A
66	19.gif	1	Same	Transitive	Prime_A
66	33.gif	0	Same	Dative	Prime_B
66	76.gif	1	Same	Locative	Prime_A
66	6.gif	1	Same	Transitive	Prime_B
66	T1.gif	1	Same	Dative	Prime_A
66	29.gif	1	Same	Transitive	Prime_B
66	51.gif	0	Different	Dative	Prime_B
66	15.gif	1	Different	Locative	Prime_A
66	37.gif	1	Different	Transitive	Prime_B
66	T6.gif	0	Different	Dative	Prime_B
66	114.gif	1	Different	Locative	Prime_B
66	30.gif	1	Different	Transitive	Prime_A
66	45.gif	1	Different	Dative	Prime_A
66	66.gif	0	Different	Locative	Prime_B
66	25.gif	0	Different	Transitive	Prime_B
